no,branch_name_th,branch_name_en,floor,mall_th,mall_en,sub_category_th,sub_category_en,status,,,,,,,,,,,,,,,,,
978,????????? ?????????????????? ??????????,Umay+ The Mall Lifestore Ngamwongwan,5,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
988,???????????????? ?????????????????? ?????,Siam Commercial Bank (SCB) The Mall Lifestore Bangkae,2,?????????????????? ?????,The Mall Lifestore Bangkae,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
993,?????????????????????? ?????????????????? ???????,Kiatnakin Phatra Bank (KKP) The Mall Lifestore Bangkapi,2,?????????????????? ???????,The Mall Lifestore Bangkapi,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1038,???????????????? ?????????????????? ??????????,Bangkok Insurance The Mall Lifestore Ngamwongwan,5,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1055,?????? ?????????? ?????????????????? ??????????,UOB Xpress The Mall Lifestore Ngamwongwan,5,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1062,??????????????????? ?????????????????? ???????,Muang Thai Life Assurance The Mall Lifestore Bangkapi,2,?????????????????? ???????,The Mall Lifestore Bangkapi,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1114,???????????? ?????????????????? ??????????,Government Savings Bank (GSB) The Mall Lifestore Ngamwongwan,5,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1118,????????????? ????????? ?????,Krung Thai Bank (KTB) The Mall Korat,B,????????? ?????,The Mall Korat,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1267,?????????????? ?????????????????? ??????????,Kasikorn Bank (KBank) The Mall Lifestore Ngamwongwan,5,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1274,????????? ?????????????????? ???????,Umay+ The Mall Lifestore Bangkapi,2,?????????????????? ???????,The Mall Lifestore Bangkapi,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1290,??????????????????? ?????????????????? ??????????,Bank Of Ayudhya (BAY) The Mall Lifestore Ngamwongwan,5,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1294,??????????????????????? (?????????) ?????????????????? ??????????,Yuanta Securities The Mall Lifestore Ngamwongwan,G,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1325,??????????????? ???????????? ?????????????????? ???????,The Thai Credit Retail Bank (TCR) The Mall Lifestore Bangkapi,2,?????????????????? ???????,The Mall Lifestore Bangkapi,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1330,??????????????? ???????????? ????????? ?????,The Thai Credit Retail Bank (TCR) The Mall Korat,B,????????? ?????,The Mall Korat,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1332,???????????????? ?????????????????? ???????,Siam Commercial Bank (SCB) The Mall Lifestore Bangkapi,2,?????????????????? ???????,The Mall Lifestore Bangkapi,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1353,???????????? ????????? ?????,Government Savings Bank (GSB) The Mall Korat,B,????????? ?????,The Mall Korat,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
